Site,Sampling,Day,Tree,Treatment,Bait_type,Ant_Morphospecies,Notes
CP,B,01.05.2017,A2,wo,honey,empty,
CP,B,01.05.2017,A2,wo,tuna,Ant_B,
CP,B,01.05.2017,A4,wo,honey,Ant_A,
CP,B,01.05.2017,A4,wo,honey,Ant_A,
CP,B,01.05.2017,A4,wo,tuna,empty,
CP,B,01.05.2017,A7,wo,honey,Ant_A,
CP,B,01.05.2017,A7,wo,tuna,Ant_A,
CP,B,01.05.2017,A7,wo,tuna,Ant_Y,
CP,B,01.05.2017,C6,wo,honey,Ant_E,
CP,B,01.05.2017,C6,wo,tuna,Ant_E,
CP,B,01.05.2017,E2,wr,honey,Ant_A,
CP,B,01.05.2017,E2,wr,tuna,Ant_A,
CP,B,01.05.2017,E2,wr,tuna,Ant_E,
CP,B,01.05.2017,F2,w,honey,Ant_A,
CP,B,01.05.2017,F2,w,honey,Ant_V,
CP,B,01.05.2017,F2,w,tuna,Ant_A,
CP,B,01.05.2017,F4,w,honey,empty,
CP,B,01.05.2017,F4,w,tuna,Ant_A,
CP,B,01.05.2017,F4,w,tuna,Ant_A,
CP,B,01.05.2017,G4,wr,honey,Ant_A,
CP,B,01.05.2017,G4,wr,honey,Ant_A,
CP,B,01.05.2017,G4,wr,honey,Ant_H,
CP,B,01.05.2017,G4,wr,tuna,Ant_A,
CP,B,01.05.2017,G4,wr,tuna,Ant_H,
DO,A,01.07.2017,B9,wo,honey,empty,
DO,A,01.07.2017,B9,wo,tuna,Ant_G,
DO,A,01.07.2017,C16,wo,honey,Ant_G,
DO,A,01.07.2017,C16,wo,tuna,Ant_G,
DO,A,01.07.2017,C8,wo,honey,Ant_L,
DO,A,01.07.2017,C8,wo,honey,Ant_G,
DO,A,01.07.2017,C8,wo,tuna,Ant_G,
DO,A,01.07.2017,C8,wo,tuna,Ant_Q,
DO,A,01.07.2017,D17,wo,honey,Ant_Q,
DO,A,01.07.2017,D17,wo,tuna,Ant_G,
DO,A,01.07.2017,D17,wo,tuna,Ant_P,
DO,A,01.07.2017,D18,wo,honey,Ant_Z,nest in tree
DO,A,01.07.2017,D18,wo,tuna,Ant_Z,nest in tree
DO,A,01.07.2017,D7,wr,honey,Ant_J,
