Site;Sampling;Day;Tree;Treatment;Square;Bromeliad_#;Distance;Diameter;Longest_leaf_length;
CP;B;01.05.2017;E2;wr;i;a;169;9;83;
CP;B;01.05.2017;E2;wr;i;b;326.7;3.5;33.1;
CP;B;01.05.2017;E2;wr;ii;a;254.5;9;83;
CP;B;01.05.2017;E2;wr;ii;b;259.7;3.5;33.1;
CP;B;01.05.2017;E2;wr;iii;a;296.2;9;83;
CP;B;01.05.2017;E2;wr;iii;b;124.4;3.5;33.1;
CP;B;01.05.2017;E2;wr;iv;a;236.4;9;83;
CP;B;01.05.2017;E2;wr;iv;b;169.2;3.5;33.1;
CP;B;01.05.2017;F2;w;i;a;189;6;90;
CP;B;01.05.2017;F2;w;ii;a;154.5;6;90;
CP;B;01.05.2017;F2;w;iii;a;292.5;6;90;
CP;B;01.05.2017;F2;w;iv;a;333;6;90;
CP;B;01.05.2017;G4;wr;i;a;132;6;71;
CP;B;01.05.2017;G4;wr;i;b;98;3.8;31;
CP;B;01.05.2017;G4;wr;ii;a;172.2;6;71;
CP;B;01.05.2017;G4;wr;ii;b;279.9;3.8;31;
CP;B;01.05.2017;G4;wr;iii;a;211;6;71;
CP;B;01.05.2017;G4;wr;iii;b;285.1;3.8;31;
CP;B;01.05.2017;G4;wr;iv;a;194.2;6;71;
CP;B;01.05.2017;G4;wr;iv;b;299.2;3.8;31;
CP;B;01.05.2017;F4;w;i;a;80;7.8;53.1;
CP;B;01.05.2017;F4;w;ii;a;82.7;7.8;53.1;
CP;B;01.05.2017;F4;w;iii;a;198.8;7.8;53.1;
CP;B;01.05.2017;F4;w;iv;a;130.5;7.8;53.1;
CP;B;05.05.2017;G6;w;i;a;108.1;6.1;52.1;
CP;B;05.05.2017;G6;w;i;b;224.9;3.5;40.3;
CP;B;05.05.2017;G6;w;ii;a;235.4;6.1;52.1;
CP;B;05.05.2017;G6;w;ii;b;204.4;3.5;40.3;
CP;B;05.05.2017;G6;w;iii;a;281.1;6.1;52.1;
CP;B;05.05.2017;G6;w;iii;b;201.6;3.5;40.3;
CP;B;05.05.2017;G6;w;iv;a;109.1;6.1;52.1;
CP;B;05.05.2017;G6;w;iv;b;234.1;3.5;40.3;
CP;B;05.05.2017;H2;wr;i;a;194.5;8.7;65.1;
CP;B;05.05.2017;H2;wr;ii;a;219.6;8.7;65.1;
CP;B;05.05.2017;H2;wr;iii;a;249.7;8.7;65.1;
CP;B;05.05.2017;H2;wr;iv;a;164.7;8.7;65.1;
CP;B;05.05.2017;I7;w;i;a;107.6;4;68.1;
CP;B;05.05.2017;I7;w;i;b;107.6;2.5;33;
CP;B;05.05.2017;I7;w;i;c;126.6;5;51.4;
CP;B;05.05.2017;I7;w;i;d;135.5;4;64;
CP;B;05.05.2017;I7;w;i;e;227.5;8.5;62;
CP;B;05.05.2017;I7;w;i;f;227.5;7.5;57;
