Subphylum;Order;Suborder;Family;Subfamily;Genus;Species;Morphospecies;Species_old_name;Diet;Site;Sampling;Day;Tree;Square;Treatment;Abundance;
Acari;;;;;;;Mite_B;Beetle DW;unkn;CP;A;24.06.2017;C6;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;11.07.2017;A10;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;29.06.2017;C8;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;ER;A;25.06.2017;F14;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;B;18.05.2017;G5;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;29.06.2017;G6;i;w;2;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;07.07.2017;G7;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;04.07.2017;H1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;04.07.2017;H1;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;29.06.2017;H2;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;DO;B;17.05.2017;H5;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;11.07.2017;I3;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;29.06.2017;I7;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;07.07.2017;J4;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;CP;A;04.07.2017;K5;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;ER;A;05.07.2017;P5;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AA;Jspider AA;pred;ER;A;12.07.2017;V8;iii;wo;2;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;A;26.06.2017;B18;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;A;26.06.2017;B20;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;A;01.07.2017;C16;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;A;01.07.2017;D7;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;ER;A;25.06.2017;E8;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;B;17.05.2017;F10;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;ER;A;25.06.2017;F14;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;B;17.05.2017;F3;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;CP;A;04.07.2017;G1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;A;10.07.2017;G13;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;A;10.07.2017;G13;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;ER;A;02.07.2017;G5;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;ER;A;02.07.2017;G7;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AB;Jspider AB;pred;DO;A;13.07.2017;H15;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AC;Jspider AC;pred;CP;A;29.06.2017;D2;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AC;Jspider AC;pred;CP;A;24.06.2017;G4;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AE;Jspider AE;pred;CP;A;29.06.2017;G6;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AF;Jspider M;pred;DO;B;20.05.2017;H7;ii;wr;2;
Chelicerata;Araneae;;;;;;Jspider_AG;Jspider AG;pred;ER;A;12.07.2017;AH4;i;wo;2;
Chelicerata;Araneae;;;;;;Jspider_AG;Jspider AG;pred;ER;A;25.06.2017;C3;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_AG;Jspider AG;pred;ER;A;02.07.2017;I3;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AG;Jspider AG;pred;ER;A;05.07.2017;N10;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_AG;Jspider AG;pred;ER;A;05.07.2017;O9;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AG;Jspider AG;pred;ER;A;08.07.2017;S11;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AG;Jspider AG;pred;ER;A;12.07.2017;X7;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AH;Jspider AH;pred;ER;A;25.06.2017;E8;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AH;Jspider AH;pred;ER;A;25.06.2017;E8;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;11.07.2017;A10;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;ER;A;12.07.2017;AH3;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;ER;A;12.07.2017;AI1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;29.06.2017;C8;iv;wo;2;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;01.07.2017;C8;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;06.07.2017;D11;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;01.07.2017;F23;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;06.07.2017;G3;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;29.06.2017;G6;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;06.07.2017;G6;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;06.07.2017;G6;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;04.07.2017;H1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;13.07.2017;H18;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;DO;A;13.07.2017;I1;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;07.07.2017;I2;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;07.07.2017;J1;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;07.07.2017;J4;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;CP;A;11.07.2017;L2;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;ER;A;05.07.2017;M1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;ER;A;05.07.2017;M12;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;ER;A;05.07.2017;U1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;ER;A;05.07.2017;U1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AI;Jspider AI;pred;ER;A;05.07.2017;U1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AJ;Jspider AJ;pred;CP;A;29.06.2017;C8;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AJ;Jspider AJ;pred;CP;A;04.07.2017;F6;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AJ;Jspider AJ;pred;DO;A;10.07.2017;H6;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AJ;Jspider AJ;pred;CP;A;07.07.2017;I1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AJ;Jspider AJ;pred;CP;A;07.07.2017;I1;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AJ;Jspider AJ;pred;CP;A;07.07.2017;I4;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AJ;Jspider AJ;pred;CP;A;04.07.2017;J6;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AK;Jspider AK;pred;CP;A;29.06.2017;C8;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;CP;A;11.07.2017;A8;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;ER;A;12.07.2017;AH4;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;CP;A;11.07.2017;B7;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;CP;A;29.06.2017;C8;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;DO;A;13.07.2017;I4;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;CP;A;04.07.2017;J8;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;ER;A;05.07.2017;N10;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;ER;A;08.07.2017;S11;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;ER;A;05.07.2017;U1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;ER;A;05.07.2017;V2;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AL;Jspider AL;pred;ER;A;12.07.2017;X7;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_AM;Jspider AM;pred;ER;A;02.07.2017;G7;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AN;Jspider AN;pred;CP;A;04.07.2017;F6;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AN;Jspider AN;pred;CP;A;04.07.2017;J8;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;DO;A;06.07.2017;D5;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;CP;A;04.07.2017;G1;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;CP;A;07.07.2017;G7;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;CP;A;07.07.2017;I2;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;CP;A;07.07.2017;I2;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;ER;A;08.07.2017;J19;iii;wo;2;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;CP;A;07.07.2017;J4;iv;w;5;
Chelicerata;Araneae;;;;;;Jspider_AO;Jspider AO;pred;CP;A;04.07.2017;K5;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_AP;Jspider AP;pred;CP;A;04.07.2017;J8;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AR;Jspider AR;pred;ER;A;05.07.2017;M1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AR;Jspider AR;pred;ER;A;08.07.2017;S11;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AS;Jspider AS;pred;ER;A;05.07.2017;P5;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AT;Jspider AT;pred;ER;A;05.07.2017;N10;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_AU;Jspider AU;pred;CP;A;07.07.2017;I4;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AU;Jspider AU;pred;CP;A;07.07.2017;J4;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_AU;Jspider AU;pred;ER;A;05.07.2017;P5;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_AV;Jspider AV;pred;DO;A;06.07.2017;D19;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_AW;Jspider AW;pred;DO;A;06.07.2017;G11;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_AX;Jspider AX;pred;DO;A;06.07.2017;G6;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AY;Jspider AY;pred;DO;A;06.07.2017;G6;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_AZ;Jspider AZ;pred;DO;A;06.07.2017;G2;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_B;Jspider B;pred;DO;B;06.05.2017;D18;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_B;Jspider B;pred;CP;B;05.05.2017;D2;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_B;Jspider B;pred;CP;B;01.05.2017;E2;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_B;Jspider B;pred;CP;B;13.05.2017;L10;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_B;Jspider B;pred;ER;A;02.07.2017;N1;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_BA;Jspider BA;pred;CP;A;07.07.2017;J1;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_BB;Jspider BB;pred;CP;A;07.07.2017;G7;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_BC;Jspider BC;pred;ER;A;08.07.2017;O18;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_BD;Jspider BD;pred;DO;A;10.07.2017;F10;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_BD;Jspider BD;pred;DO;A;10.07.2017;F3;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_BE;Jspider BE;pred;DO;A;10.07.2017;H6;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_BF;Jspider BF;pred;CP;A;11.07.2017;A8;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_BG;Jspider BG;pred;CP;A;11.07.2017;G3;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_BH;Jspider BH;pred;CP;A;11.07.2017;G3;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;ER;B;19.05.2017;AI1;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;CP;A;24.06.2017;C6;iii;wo;2;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;CP;B;05.05.2017;D2;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;DO;B;06.05.2017;E11;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;ER;B;07.05.2017;E7;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;CP;B;09.05.2017;F6;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;DO;B;12.05.2017;G2;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;DO;B;12.05.2017;G2;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;DO;B;12.05.2017;G3;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;CP;B;05.05.2017;I7;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;CP;B;13.05.2017;J2;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_C;Jspider C;pred;ER;B;19.05.2017;R14;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_D;Jspider D;pred;CP;B;09.05.2017;G1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_D;Jspider D;pred;DO;B;12.05.2017;G2;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_D;Jspider D;pred;ER;B;19.05.2017;V8;iii;wo;1;
