Site,block,Day,Time,Observer,Tree,Bromeliads,obs,Order,Suborder,Family,cleanspec,Species,Specimen,Diet,Behavior,behaviour,Behavior_Duration,Interaction_Type,interaction,Interaction_Target,Interaction_Duration,Interaction_Outcome
CP,A,06-01-17,Day,Pier,G3,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_A,Ant_A,Ant_A,pred,exploring,mobile,300,antennal_contact,pos,caAnt_AL,1,resuming_exploration
CP,A,06-01-17,Day,Pier,K3,present,F,Hymenoptera,Apocrita,Formicidae,Ant_E,Ant_E,Ant_E_a,pred,exploring,mobile,240,antennal_contact,pos,Ant_E_b,1,cooperation
CP,X,06-01-17,Day,Pier,K3,present,F,Hymenoptera,Apocrita,Formicidae,Ant_E,Ant_E,Ant_E_b,pred,exploring,mobile,240,antennal_contact,pos,Ant_E_a,1,cooperation
CP,X,06-01-17,Day,Pier,G3,absent,S,Hymenoptera,Apocrita,Formicidae,Ant_AL,caAnt_AL,caAnt_AL,pred,exploring,mobile,180,antennal_contact,pos,Ant_A,1,resuming_exploration
CP,X,06-01-17,Day,Pier,K7,present,F,Hymenoptera,Apocrita,Formicidae,Ant_E,Ant_E,Ant_E,pred,exploring,mobile,20,attack,neg,Hemiptera_F,1,miss
CP,X,06-01-17,Day,Pier,K3,present,F,Hymenoptera,Apocrita,Formicidae,Ant_E,Ant_E,Ant_E_a,pred,exploring,mobile,60,attack,neg,caBeetle_BC_a,1,miss
CP,X,06-01-17,Day,Pier,K3,present,F,Hymenoptera,Apocrita,Formicidae,Ant_E,Ant_E,Ant_E_b,pred,exploring,mobile,60,attack,neg,caBeetle_BC_a,1,miss
CP,X,06-01-17,Day,Pier,K3,present,F,Coleoptera,Polyphaga,Chrysomelidae,Beetle_BC,caBeetle_BC,caBeetle_BC_a,herb,chewing_leaf,herb_feeding,300,attacked,neg,Ant_E_a,1,flight
CP,X,06-01-17,Day,Pier,K3,present,F,Coleoptera,Polyphaga,Chrysomelidae,Beetle_BC,caBeetle_BC,caBeetle_BC_a,herb,chewing_leaf,herb_feeding,300,attacked,neg,Ant_E_b,1,flight
CP,X,06-01-17,Day,Pier,K7,present,F,Hemiptera,Sternorrhyncha,Liviidae,Hemiptera_F,Hemiptera_F,Hemiptera_F,herb,sucking_leaf,herb_feeding,120,attacked,neg,Ant_E,1,flight
CP,X,06-01-17,Day,Pier,K3,present,F,Diptera,Brachycera,,Unidentified_fly,Unidentified_fly,Unid_housefly_a,unkn,mating,reproduction,1,mating,pos,Unid_housefly_b,1,mating
CP,X,06-01-17,Day,Pier,K3,present,F,Diptera,Brachycera,,Unidentified_fly,Unidentified_fly,Unid_housefly_b,unkn,mating,reproduction,1,mating,pos,Unid_housefly_a,1,mating
CP,X,06-01-17,Day,Pier,G1,absent,S,Coleoptera,Polyphaga,Chrysomelidae,Beetle_BC,caBeetle_BC,caBeetle_BC,herb,chewing_leaf,herb_feeding,300,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G1,absent,S,Hemiptera,Sternorrhyncha,Coccoidea,Scale_B,caScale_B,caScale_B,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
CP,X,06-01-17,Day,Pier,G3,absent,F,Hemiptera,Sternorrhyncha,Coccoidea,Scale_B,Scale_B,Scale_B,herb,feeding/stationary,herb_feeding,300,nothing,,nothing,0,nothing
