Analyst;Site;Sampling;Day;Tree;Treatment;Square;Leaf;Original_area;Actual_area;Miner;Hemiptera
Agnia;CP;A;04.07.2017;F1;wo;i;1;26.731;26.731;0;0.005
Agnia;CP;A;04.07.2017;F1;wo;i;2;14.965;14.362;0;0
Agnia;CP;A;04.07.2017;F1;wo;i;3;15.82;15.82;0;0.038
Agnia;CP;A;04.07.2017;F1;wo;i;4;11.487;11.487;0;0
Agnia;CP;A;04.07.2017;F1;wo;i;5;7.33;5.867;0;0.499
Agnia;CP;A;04.07.2017;F1;wo;ii;1;21.076;20.878;0;0
Agnia;CP;A;04.07.2017;F1;wo;ii;2;22.139;22.139;0.084;0
Agnia;CP;A;04.07.2017;F1;wo;ii;3;13.315;13.315;0.39;0
Agnia;CP;A;04.07.2017;F1;wo;ii;4;14.08;14.08;0;0
Agnia;CP;A;04.07.2017;F1;wo;ii;5;8.231;8.231;0;0
Agnia;CP;A;04.07.2017;F1;wo;iii;1;22.793;22.793;0;0
Agnia;CP;A;04.07.2017;F1;wo;iii;2;16.78;16.78;1.038;0.037
Agnia;CP;A;04.07.2017;F1;wo;iii;3;28.823;28.823;0;0.044
Agnia;CP;A;04.07.2017;F1;wo;iii;4;21.615;21.137;0;0
Agnia;CP;A;04.07.2017;F1;wo;iii;5;14.419;14.419;1.502;0
Agnia;CP;A;04.07.2017;F1;wo;iv;1;22.732;22.5;1.643;0
Agnia;CP;A;04.07.2017;F1;wo;iv;2;20.967;20.967;0;0
Agnia;CP;A;04.07.2017;F1;wo;iv;3;17.963;17.963;0;0
Agnia;CP;A;04.07.2017;F1;wo;iv;4;22.231;22.231;0.737;1.063
Agnia;CP;A;04.07.2017;F1;wo;iv;5;16.898;16.875;0;0
Agnia;CP;A;04.07.2017;F6;wo;i;1;22.342;22.342;0;0
Agnia;CP;A;04.07.2017;F6;wo;i;2;21.853;21.853;0;0
Agnia;CP;A;04.07.2017;F6;wo;i;3;5.952;4.566;0;0
Agnia;CP;A;04.07.2017;F6;wo;i;4;17.086;17.086;0;0
Agnia;CP;A;04.07.2017;F6;wo;i;5;4.243;4.243;1.516;0
Agnia;CP;A;04.07.2017;F6;wo;ii;1;19.437;19.437;0;0
Agnia;CP;A;04.07.2017;F6;wo;ii;2;4.022;3.865;0;0.004
Agnia;CP;A;04.07.2017;F6;wo;ii;3;10.59;10.59;0;0
