Subphylum;Order;Suborder;Family;Subfamily;Genus;Species;Morphospecies;Species_old_name;Diet;Site;Sampling;Day;Tree;Treatment;Bromeliad;Abundance
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;DO;B;03.05.2017;A18;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;DO;B;03.05.2017;A18;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Plectoptera;;Cockroach_F;Cockroach F;scav;DO;B;03.05.2017;A18;wr;a;1
Chelicerata;Araneae;;;;;;Jspider_A;Jspider A;pred;DO;B;03.05.2017;A18;wr;a;2
Hexapoda;Blattodea;;Blaberidae;;Epilampra or Panchlora or other;;Cockroach_D;Cockroach D;scav;DO;B;03.05.2017;A18;wr;a;1
Hexapoda;Blattodea;;Blaberidae;;Epilampra or Panchlora or other;;Cockroach_D;Cockroach D;scav;DO;B;03.05.2017;A18;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;DO;B;03.05.2017;A18;wr;a;9
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_A;Cricket A;omni;DO;B;03.05.2017;A18;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach E;scav;DO;B;03.05.2017;A18;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Neoblattellini?;;Cockroach_G;Cockroach G;scav;DO;B;03.05.2017;A18;wr;b;1
Chelicerata;Araneae;;;;;;Spider_E;Spider E;pred;DO;B;03.05.2017;A18;wr;b;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;DO;B;03.05.2017;A18;wr;b;4
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_A;Cricket A;omni;DO;B;03.05.2017;A18;wr;b;2
Hexapoda;Orthoptera;Ensifera;Tettigoniidae;Conocephalinae;;;Katydid_D;Katydid D;herb;DO;A;26.06.2017;B18;w;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;A;26.06.2017;B18;w;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;DO;A;26.06.2017;B18;w;a;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_K;Cricket K;omni;DO;A;26.06.2017;B18;w;a;1
Hexapoda;Psocoptera;;;;;;Psoco_B;Barklice B;detr;DO;A;26.06.2017;B18;w;a;1
Mollusca;Gastropoda;;;;;;Snail_A;Snail A;herb;DO;A;26.06.2017;B18;w;a;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Curculioninae;;;Beetle_DD;Beetle DD;herb;DO;A;26.06.2017;B18;w;b;1
Chelicerata;Araneae;;;;;;Spider_AF;Spider AF;pred;DO;A;26.06.2017;B18;w;b;2
Chelicerata;Opiliones;;;;;;Opilio_B;Opilio B;omni;DO;A;26.06.2017;B18;w;b;2
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_J;Cricket J;omni;DO;A;26.06.2017;B18;w;b;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_K;Cricket K;omni;DO;A;26.06.2017;B18;w;b;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_N;Cricket N;omni;DO;A;26.06.2017;B18;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Ectatomminae;Gnamptogenys;;Ant_K;Ant K;pred;DO;A;26.06.2017;B20;w;a;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant AR;pred;DO;A;26.06.2017;B20;w;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant I;pred;DO;A;26.06.2017;B20;w;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_E;Ootheca E;nada;DO;A;26.06.2017;B20;w;a;2
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_J;Cricket J;omni;DO;A;26.06.2017;B20;w;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;A;26.06.2017;B20;w;b+c;2
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_D;Ootheca D;nada;DO;A;26.06.2017;B20;w;b+c;1
Chelicerata;Araneae;;;;;;Spider_CP;Spider CP ;pred;DO;A;26.06.2017;B20;w;b+c;1
Chelicerata;Opiliones;;;;;;Opilio_A;Opilio A;omni;DO;A;26.06.2017;B20;w;b+c;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Hemiptera_nymph_T;Hemiptera nymph T;herb;DO;A;26.06.2017;B20;w;b+c;2
Mollusca;Gastropoda;;;;;;Snail_A;Snail A;herb;DO;A;26.06.2017;B20;w;b+c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;B;04.05.2017;B3;wr;a;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;FlyingAnt_C;Flying ant C;pred;ER;B;04.05.2017;B3;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;B3;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Nahublatella;Nahublatella fraterna;Cockroach_Z;Cockroach Z;scav;ER;B;04.05.2017;B3;wr;a;2
Chelicerata;Araneae;;;;;;Spider_A;Spider A;pred;ER;B;04.05.2017;B3;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;B;04.05.2017;B3;wr;a;5
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;B;04.05.2017;B3;wr;a;4
Hexapoda;Hemiptera;Heteroptera;Rhyparochromidae;;;;Hemiptera_A;Hemiptera A;gran;ER;B;04.05.2017;B3;wr;a;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_A;Cricket A;omni;ER;B;04.05.2017;B3;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;ER;B;04.05.2017;B3;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;B3;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;B3;wr;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;B;04.05.2017;B3;wr;c;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant S;pred;ER;B;04.05.2017;B3;wr;c;nest
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Neoblatellini;;Cockroach_B;Cockroach B;scav;ER;B;04.05.2017;B3;wr;c;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;B;04.05.2017;B3;wr;d;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant I;pred;ER;B;04.05.2017;B3;wr;d;nest
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;B;04.05.2017;B3;wr;d;2
Hexapoda;Coleoptera;Polyphaga;Chrysomelidae;Bruchinae;;;Beetle_E;Beetle E;herb;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;DO;B;03.05.2017;B8;wr;a;3
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Plectoptera;;Cockroach_C;Cockroach C;scav;DO;B;03.05.2017;B8;wr;a;1
Chelicerata;Araneae;;;;;;Spider_A;Spider A;pred;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Coleoptera;Adephaga;Carabidae;;;;Beetle_G;Beetle G;pred;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Diptera;Nematocera;Sciaridae;;;;Midge_B;Midge B;nada;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Orthoptera;Ensifera;Gryllidae;;;;Cricket_A;Cricket A;omni;DO;B;03.05.2017;B8;wr;a;1
Hexapoda;Blattodea;;;Ootheca;;;Ootheca_B;Ootheca B;nada;DO;B;03.05.2017;B8;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Chorisoneura or Anaplecta;;Cockroach_A;Cockroach A;scav;DO;B;03.05.2017;B8;wr;b;1
Hexapoda;Blattodea;;Ectobiidae;Pseudophyllodromiinae;Plectoptera;;Cockroach_C;Cockroach C;scav;DO;B;03.05.2017;B8;wr;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant H;pred;ER;A;25.06.2017;C3;w;a;nest
Chelicerata;Araneae;;;;;;Spider_CL;Spider CL;pred;ER;A;25.06.2017;C3;w;a;1
Hexapoda;Coleoptera;Polyphaga;Staphylinidae;;;;Staphylinid_A;Staphylinid A;pred;ER;A;25.06.2017;C3;w;a;1
Hexapoda;Hemiptera;Auchenorrhyncha;;;;;Homoptera_A;Psyllid A;herb;ER;A;25.06.2017;C3;w;a;1
Hexapoda;Coleoptera;Polyphaga;Curculionidae;Dryophthorinae;;;Beetle_D;Beetle D;herb;ER;A;25.06.2017;C3;w;b;1
Hexapoda;Hymenoptera;Apocrita;Formicidae;Formicinae;Formica;;Ant_H;Ant H;pred;ER;A;25.06.2017;C3;w;b;nest
Hexapoda;Hymenoptera;Apocrita;Formicidae;Myrmicinae;;;Ant_A;Ant A;pred;ER;A;25.06.2017;C3;w;b;nest
